NodeID,Property,Value
920,English_Name,Natural vegetation
920,Name,自然植被
920,Type,太白山南坡植被大类
937,English_Name,Meadow
937,Name,草甸
937,Type,太白山南坡植被型组
934,English_Name,Shrub
934,Name,灌丛
934,Type,太白山南坡植被型组
929,English_Name,Coniferous forest 
929,Name,针叶林
929,Type,太白山南坡植被型组
926,English_Name,Coniferous and broadleaved mixed forest
926,Name,针阔叶混交林
926,Type,太白山南坡植被型组
921,English_Name,Broadleaved forest
921,Name,阔叶林
921,Type,太白山南坡植被型组
919,English_name,Mt. Taibai(south slope)
919,Name,太白山南坡
919,Type,秦巴山地
922,English_Name,Temperate deciduous broadleaved forest
922,Name,温带落叶阔叶林
922,Type,太白山南坡植被型
110,Num,III
110,LatinName,Broadleaf Forests
110,Name,阔叶林
110,Type,植被型组
925,Upper_limit,2650
925,LatinName,Betula albosinensis forest
925,Lower_limit,2300
925,Mountain,太白山南坡
925,Name,红桦林
925,Type,太白山南坡群系
924,Upper_limit,2000
924,LatinName,"Quercrs aliena var. acuteserrata, Pinus armandii Franch. Forest"
924,Lower_limit,1300
924,Mountain,太白山南坡
924,Name,"锐齿槲栎,华山松林"
924,Type,太白山南坡群系
923,Upper_limit,1300
923,LatinName,Quercus variabilis Blume forest
923,Lower_limit,750
923,Mountain,太白山南坡
923,Name,栓皮栎林
923,Type,太白山南坡群系
928,Upper_limit,2300
928,LatinName,"Betula albosinensis, Pinus armandii Franch. Forest"
928,Lower_limit,2000
928,Mountain,太白山南坡
928,Name,红桦、华山松林
928,Type,太白山南坡群系
927,English_Name,Temperate coniferous and deciduous broadleaved forest
927,Name,温带针叶林和落叶阔叶林
927,Type,太白山南坡植被型
94,Num,II
94,LatinName,Needleleaf and Broadleaf Mixed Forests
94,Name,针阔叶混交林
94,Type,植被型组
931,Upper_limit,2000
931,LatinName,Pinus armandii Franch. Forest
931,Lower_limit,1500
931,Mountain,太白山南坡
931,Name,华山松林
931,Type,太白山南坡群系
930,English_Name,Subtropical mountain coniferous forest
930,Name,亚热带山地针叶林
930,Type,太白山南坡植被型
1,Num,I
1,LatinName,Needleleaf Forests
1,Name,针叶林
1,Type,植被型组
933,Upper_limit,3400
933,LatinName,Larix chinensisBeissn. forest
933,Lower_limit,3000
933,Mountain,太白山南坡
933,Name,太白红杉林
933,Type,太白山南坡群系
932,Upper_limit,3000
932,LatinName,Abies fargesii Franch. forsest
932,Lower_limit,2650
932,Mountain,太白山南坡
932,Name,巴山冷杉林
932,Type,太白山南坡群系
936,Upper_limit,3767
936,LatinName,Alpine shrub
936,Lower_limit,3400
936,Mountain,太白山南坡
936,Name,高山灌丛
936,Type,太白山南坡群系
935,English_Name,Alpine shrub
935,Name,高山灌丛
935,Type,太白山南坡植被型
256,Num,IV
256,LatinName,Broadleaf Forests
256,Name,灌丛
256,Type,植被型组
939,Upper_limit,3767
939,LatinName,Alpine meadow
939,Lower_limit,3400
939,Mountain,太白山南坡
939,Name,高山草甸
939,Type,太白山南坡群系
938,English_Name,Alpine meadow
938,Name,高山草甸
938,Type,太白山南坡植被型
616,Num,VIII
616,LatinName,Meadows
616,Name,草甸
616,Type,植被型组
941,English_Name,Natural vegetation
941,Name,自然植被
941,Type,太白山北坡植被大类
958,English_Name,Meadows
958,Name,高山草甸
958,Type,太白山北坡植被型组
955,English_Name,Scrubs
955,Name,高山灌丛
955,Type,太白山北坡植被型组
951,English_Name,Needleleaf Forests
951,Name,针叶林
951,Type,太白山北坡植被型组
947,English_Name,Needleleaf and Broadleaf Mixed Forests
947,Name,针阔叶混交林
947,Type,太白山北坡植被型组
942,English_Name,Broadleaf Forests
942,Name,阔叶林
942,Type,太白山北坡植被型组
940,English_name,Mt. Taibai(north)
940,Name,太白山北坡
940,Type,秦巴山地
943,English_Name,Temperate deciduous broadleaved forest
943,Name,温带落叶阔叶林
943,Type,太白山北坡植被型
950,Upper_limit,2800
950,LatinName,Betula albo-sinensis var. septentrionalis forest
950,Lower_limit,2700
950,Mountain,太白山北坡
950,Name,牛皮桦林
950,Type,太白山北坡群系
946,Upper_limit,2300
946,LatinName,Quercus mongolica Fisch. ex Ledeb.  forest
946,Lower_limit,1900
946,Mountain,太白山北坡
946,Name,辽东栎林
946,Type,太白山北坡群系
945,Upper_limit,1900
945,LatinName,Quercrs aliena var. acuteserrata forest
945,Lower_limit,1000
945,Mountain,太白山北坡
945,Name,锐齿槲栎林
945,Type,太白山北坡群系
944,Upper_limit,1000
944,LatinName,Quercrs variabilis forest
944,Lower_limit,800
944,Mountain,太白山北坡
944,Name,栓皮栎林
944,Type,太白山北坡群系
949,Upper_limit,2700
949,LatinName,"Betula albosinensis, Pinus armandii Franch. Forest"
949,Lower_limit,2300
949,Mountain,太白山北坡
949,Name,红桦、华山松林
949,Type,太白山北坡群系
948,English_Name,Temperate coniferous and deciduous broadleaved forest
948,Name,温带针叶林和落叶阔叶林
948,Type,太白山北坡植被型
953,Upper_limit,3000
953,LatinName,Abies fargesii Franch. forsest
953,Lower_limit,2800
953,Mountain,太白山北坡
953,Name,巴山冷杉林
953,Type,太白山北坡群系
952,English_Name,Subtropical mountain coniferous forest
952,Name,亚热带山地针叶林
952,Type,太白山北坡植被型
954,Upper_limit,3400
954,LatinName,Larix chinensisBeissn. forest
954,Lower_limit,3000
954,Mountain,太白山北坡
954,Name,太白红杉林
954,Type,太白山北坡群系
957,Upper_limit,3767
957,LatinName,Alpine shrub
957,Lower_limit,3400
957,Mountain,太白山北坡
957,Name,高山灌丛
957,Type,太白山北坡群系
956,English_Name,Alpine shrub
956,Name,高山灌丛
956,Type,太白山北坡植被型
960,Upper_limit,3767
960,LatinName,Alpine meadow
960,Lower_limit,3400
960,Mountain,太白山北坡
960,Name,高山草甸
960,Type,太白山北坡群系
959,English_Name,Alpine meadow
959,Name,高山草甸
959,Type,太白山北坡植被型
